Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"Virginia Energy is in search of Abandoned Mine Land (AML) Project Managers to administer the approved statewide AML Program. The AML program remediates priority AML issues affecting the health and safety of the coalfield residents and their environment. The program also promotes and manages grant funding for economic development of AML lands.

Come be a part of an agency that makes a difference!

Apply now: https://lnkd.in/eK2wRRcg",https://www.linkedin.com/feed/update/urn:li:activity:7362196584811429888,08/15/2025,358,,3.4%,4.2%,1
"Natural gas has been a vital component of Virginia's energy mix for nearly a century, providing reliable and affordable power to homes and businesses across the Commonwealth. In fact, natural gas accounts for just over 50% of Virginia's electric capacity, making it the largest single source of energy in the state.

https://lnkd.in/esawrUmt",https://www.linkedin.com/feed/update/urn:li:activity:7337886398038892545,06/09/2025,454,,1.8%,4.2%,1
"Virginia imports more electricity than any other state. This unprecedented level of energy dependence, coupled with our fastest-growing power demand since World War II, underscores the urgent need to expand our in-state energy resources and infrastructure. A diversified mix of natural gas, nuclear, renewables and other innovative technology is needed to reduce our reliance on imports and ensure a resilient, self-sufficient infrastructure for the Commonwealth. However, the current Virginia Clean Economy Act (VCEA), while setting ambitious clean energy goals, limits our ability to maintain and expand this flexible and reliable energy mix, and may result in a significant production shortfall over the next few years.

Learn more at https://ow.ly/bfPg50UKyl6",https://www.linkedin.com/feed/update/urn:li:activity:7295483543441338370,02/12/2025,384,,2.3%,4.2%,1
"AI isn't just consuming electricity, it’s helping us generate it more intelligently and efficiently. Westinghouse Electric Company is using Google Cloud AI to streamline nuclear reactor construction, enhance operations, and fast-track SMR development—building faster, safer, and smarter pathways to a reliable and increasingly clean energy future. Innovation fuels innovation!

As the data center capitol of the world, Virginia will continue to play an instrumental role in improving our nation's energy grid.

https://shr.link/23gwc",https://www.linkedin.com/feed/update/urn:li:activity:7355235720636104704,07/27/2025,744,,3.0%,4.2%,1
"When it comes to the energy grid, there is strength in diversity. By embracing #nuclear, #naturalgas, #renewables, and other innovative technologies, Virginia is building a resilient energy future. This all-of-the-above approach enhances grid stability, bolsters #nationalsecurity, and reduces dependence on out-of-state energy sources and international supply chains.

Learn more at https://lnkd.in/d8FJcwa7 
",https://www.linkedin.com/feed/update/urn:li:activity:7288259642378407937,01/23/2025,1130,,2.6%,4.2%,1
"By fast-tracking permitting for large-scale data centers, a recent presidential executive order could unlock major economic opportunity in Virginia—supporting job creation, infrastructure investment, and long-term growth.

Read more: https://lnkd.in/dpKe_wSX

",https://www.linkedin.com/feed/update/urn:li:activity:7358844506638585859,08/06/2025,485,,3.1%,4.1%,1
"Metallurgical coal accounts for approximately 80% of Virginia total coal production, and is used in advanced manufacturing process to create some of the worlds most transformative products.
",https://www.linkedin.com/feed/update/urn:li:activity:7347263283168526336,07/05/2025,271,,2.6%,4.1%,1
"Virginia is already America’s Top State for Business—and with the launch of the Made in Virginia Investment Accelerator, we’re raising the bar even higher.

This first-of-its-kind initiative fast-tracks transformative projects by aligning permitting, infrastructure, energy, and workforce partners across government. Virginia Energy is proud to play a key role in ensuring the Commonwealth continues to lead on reliability, readiness, and results.

#MadeInVirginia #EconomicDevelopment 

https://lnkd.in/ejAYZy29 ",https://www.linkedin.com/feed/update/urn:li:activity:7326682576138506240,05/09/2025,789,,2.7%,4.1%,1
"Virginia continues to modernize permitting, advance mineral exploration, and support efforts to secure and reliable supply chains, ensuring the materials our military depends on are ready when they're needed most.

China’s control over critical minerals is creating supply chain bottlenecks with real consequences for U.S. defense. From drone motors to night-vision systems, the military relies on materials that are increasingly hard to source. As prices rise and delays grow, the need for domestic and allied production has never been clearer.

Read more at https://lnkd.in/eJTztT-b",https://www.linkedin.com/feed/update/urn:li:activity:7361381246683209728,08/13/2025,545,,2.6%,4.0%,1
"Virginia's energy strategy—embracing #naturalgas, #nuclear, and #renewables while cutting red tape to build a stronger, more flexible grid—aligns with the recommendations from a new report out of Stanford University. Drawing on insights from 80 of the nation's leading energy experts, the report confirms what Virginia already knows: investment in an all-of-the-above, flexible energy mix is key to avoiding an energy crisis. 

Stanford Doerr School of Sustainability | Stanford Energy

https://lnkd.in/gRPxjr5s ",https://www.linkedin.com/feed/update/urn:li:activity:7317526419331297281,04/14/2025,578,,1.6%,4.0%,1
"With billions in investment from companies like Google AWS AI and Blackstone, Virginia’s data center sector is accelerating the deployment of nuclear, solar, and carbon capture technologies—strengthening grid reliability and cutting emissions.

As the global leader in data center capacity, Virginia has a generational opportunity to use this momentum and build the strongest, most resilient grid in the nation.

https://lnkd.in/e2H48eEe
",https://www.linkedin.com/feed/update/urn:li:activity:7353046378178117632,07/21/2025,1011,,2.3%,4.0%,1
"Safety doesn’t happen by accident. Thanks to proactive training, strong partnerships, and up-to-date resources, Virginia's mining industry has a lot to be proud of this year.

Explore more 2025 successes in our midyear impact report: https://lnkd.in/eSjew43k

#MineSafety #PeopleFirst #SafetyFirst #CoalMining
",https://www.linkedin.com/feed/update/urn:li:activity:7355582967341010946,07/28/2025,279,,2.5%,3.9%,1
"Virginia is the 9th largest producer of solar energy in the United States. About 7% of Virginia's electricity comes from solar, with more on the way as additional large scale solar facilities come online over the next decade. Alongside baseload sources like natural gas and nuclear, solar plays an important role in Virginia's all-of-the-above strategy for ensuring a reliable, affordable, and increasingly clean energy future.

https://lnkd.in/dM8inexq",https://www.linkedin.com/feed/update/urn:li:activity:7338550757702467586,06/11/2025,610,,1.8%,3.9%,1
"Virginia's investment in geological mapping delivers exceptional financial returns—7 to 10 times the investment cost—according the first-ever cost-benefit analysis of geological mapping! At Virginia Energy, our expert geologists create detailed maps that businesses and communities rely on for smart development, hazard prevention, and industry planning across the Commonwealth. 

U.S. Geological Survey (USGS) American Geosciences Institute 

Read the full report at https://lnkd.in/e_xs68CC",https://www.linkedin.com/feed/update/urn:li:activity:7302773152344883200,03/04/2025,1045,,2.1%,3.9%,1
"Sometimes, the path to a sustainable future involves crustaceans with wearable tech! This ""Fitbits for lobsters"" study on the impact of offshore wind on marine wildlife is a reminder that every energy source has its benefits and drawbacks. That's why Virginia embraces an ""all-of-the-above"" energy strategy for achieving our energy security, reliability, and environmental stewardship goals. 

https://lnkd.in/eZsPzEqT",https://www.linkedin.com/feed/update/urn:li:activity:7266435608032563200,11/24/2024,337,,3.0%,3.9%,1
"Don't miss another important update on Virginia Energy's energy, mining, mineral, and geology initiatives. Sign up for email alerts to keep up with the progress we're making across the Commonwealth at: https://ow.ly/23q350V9II8",https://www.linkedin.com/feed/update/urn:li:activity:7302674409478148096,03/04/2025,156,,2.6%,3.8%,1
"There's a good chance you've used a product today that wouldn't exist without coal. Metallurgical coal (#MetCoal) mined in Virginia generates billions of dollars of economic activity through its use in manufacturing processes across the globe. 

Learn More: https://lnkd.in/eWHQJ-f4",https://www.linkedin.com/feed/update/urn:li:activity:7283875590418382848,01/11/2025,313,,2.6%,3.8%,1
"If you’re wondering whether nuclear energy is safe, reliable, or ready for real-world use—ask the U.S. Army. The Army is now leading the development of mobile nuclear microreactors to power its bases at home and abroad. When failure isn’t an option, they’re choosing nuclear—because when national security is on the line, only the most reliable technologies make the cut.

https://lnkd.in/enjyPpXW",https://www.linkedin.com/feed/update/urn:li:activity:7338173368648495105,06/10/2025,809,,2.1%,3.8%,1
"Are you knowledgeable of employee relations strategies, practices, and procedures? Do you have experience working in multiple aspects of HR? Virginia Energy is seeking a Senior Human Resources Business Partner to serve as a strategic and tactical partner to senior management and staff. The successful candidate will lead employee relations, assist with HR projects, partner with division leaders on full-cycle recruiting, foster a culture of engagement and collaboration, advise on HR policies, and support HR transactions and reporting.

 https://lnkd.in/er4zx2Qb",https://www.linkedin.com/feed/update/urn:li:activity:7276325729435365377,12/21/2024,209,,1.9%,3.8%,1
"Securing domestic critical mineral resources like graphite strengthens supply chains, supports good jobs, and keeps Virginia competitive in the global economy. From steelmaking to aerospace, clean energy technologies, and more, graphite mined in Virginia is essential for producing batteries, lubricants, refractories, and countless industrial components.

Learn more https://lnkd.in/ei2KUXRe",https://www.linkedin.com/feed/update/urn:li:activity:7365382543606484992,08/24/2025,367,,1.1%,3.8%,1
"Natural gas emits about half the CO2 of coal, making it a cleaner option for reliable, baseload power. In Virginia, natural gas accounts for over 50% of our electric capacity, and will continue to play a critical role in our all-of-the-above strategy for Virginia's energy future.  https://ow.ly/QCVx50UpZ5w",https://www.linkedin.com/feed/update/urn:li:activity:7273004223141761024,12/12/2024,184,,1.6%,3.8%,1
"Executive Order 51 launches the nation's first AI-driven regulatory review—using advanced tools to scan thousands of regulations, flag redundancies, and cut outdated rules. Supported by the same powerful data center infrastructure that drives our world-class tech economy, this initiative will save time, reduce costs, and keep government processes modern and efficient.",https://www.linkedin.com/feed/update/urn:li:activity:7354212190087716866,07/24/2025,1037,,3.0%,3.8%,1
"Join us in celebrating #EarthScienceWeek this week! This year's theme, ""Earth Science Everywhere,"" highlights the vital role of geosciences in our daily lives and across various fields, including energy. We've compiled a list of resources to help you get involved and inspire the next generation of scientists and engineers! 

Learn more at  https://lnkd.in/dbai72Pn",https://www.linkedin.com/feed/update/urn:li:activity:7252016042871300097,10/15/2024,347,,1.2%,3.7%,1
"Innovations in natural gas are making it a key player in our increasingly clean energy future, with technologies like carbon capture and hydrogen integration enhancing its sustainability while ensuring reliability. Embracing all clean energy solutions is critical for meeting our growing power demands. #EnergyInnovation #NaturalGas #VirginiaEnergy

https://ow.ly/CkeZ50Vh5HI",https://www.linkedin.com/feed/update/urn:li:activity:7307038097337122816,03/16/2025,566,,2.5%,3.7%,1
"Data centers represent a critical component of our national security infrastructure. President Biden's recent executive order directing the Departments of Energy and Defense to lease sites for gigawatt-scale data center construction underscores the federal commitment to enhancing both clean energy and national security amid AI advancement. Domestic construction and hosting of these facilities ensures the protection of sensitive information and maintains technological independence. Virginia's strategic location and diverse energy resources position the state to play a vital role in this national security initiative through its growing data center and advanced manufacturing sectors. Virginia's investment across natural gas, nuclear, and renewable energy as part of its all-of-the-above energy plan demonstrates a comprehensive approach to powering this critical expansion.

https://lnkd.in/erHWQ64D",https://www.linkedin.com/feed/update/urn:li:activity:7286774707708702720,01/19/2025,978,,2.8%,3.7%,1
"Businesses choosing Virginia can count on an energy future that's as innovative as it is dependable. By balancing renewables with #naturalgas and #nuclear, we ensure industries and communities have access to reliable, affordable, and increasingly clean power—the core commitment behind our all-of-the-above energy plan and a major factor behind Virginia's recognition as Business Facilities' #StateOfTheYear.

https://lnkd.in/eGu4UDuY",https://www.linkedin.com/feed/update/urn:li:activity:7286004663395483648,01/17/2025,328,,2.1%,3.7%,1
"Nuclear not only provides an abundance of clean energy, helping the US to reach its decarbonization goals, but it also helps decrease the cost of these efforts when paired with renewables and storage technologies, according to a new report from the U.S. Department of Energy (DOE). Virginia embraces an all-of-the-above strategy, leveraging nuclear, clean-burning natural gas, and renewables to build a reliable, affordable, and increasingly clean energy future.",https://www.linkedin.com/feed/update/urn:li:activity:7248693740855246849,10/06/2024,334,,1.5%,3.6%,1
"Natural gas emits about half the CO2 of coal, making it a cleaner option for reliable, baseload power. In Virginia, natural gas accounts for over 50% of our electric capacity, and will continue to play a critical role in our all-of-the-above strategy for Virginia's energy future.  https://ow.ly/SWmQ50UpZ5u",https://www.linkedin.com/feed/update/urn:li:activity:7293645064029765632,02/07/2025,223,,1.8%,3.6%,1
"After dumping 40 trillion (yes, trillion) gallons of rain in the southeastern US, the impact of Hurricane Helene continues to be felt throughout the commonwealth. Virginia Energy geologist Anne Witt explains that ""if we have 5 inches or more rainfall, we generally expect to see tens or hundreds of landslides,"" and says Virginians should expect to see more of these types of events due to the historic storm, urging them to take precautions and be prepared. 

Learn More: https://lnkd.in/eT6eT4VE",https://www.linkedin.com/feed/update/urn:li:activity:7272000865106804737,12/09/2024,621,,2.6%,3.5%,1
"Having already driven major emissions reductions through the transition from coal to cleaner-burning natural gas, Virginia can maintain this momentum with nuclear power working alongside renewables and natural gas to create a balanced grid that is reliable, affordable, and increasingly clean.

Learn more about Virginia's energy future at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342537005093797888,06/22/2025,312,,1.3%,3.5%,1
"When it comes to reliability, nuclear is unmatched. Along with natural gas, renewables, and other innovative technologies, nuclear will play a critical role in meeting Virginia's growing demand for affordable, reliable, and increasingly clean energy.",https://www.linkedin.com/feed/update/urn:li:activity:7258104255582998528,10/31/2024,599,,1.5%,3.5%,1
"Yesterday, the The White House  issued executive orders emphasizing energy security through #criticalminerals, energy infrastructure, and a diversified energy strategy, aligning with bipartisan efforts in recent years to strengthen supply chains and #nationalsecurity. Virginia leads in addressing unprecedented energy demand through innovative investments across #naturalgas, #nuclear, #renewables, and domestic supply chains. By prioritizing affordability, reliability, and sustainability, we are ensuring a secure energy future for all Virginians while supporting the nation's economic and defense readiness.

https://ow.ly/iw2j50UKlWa",https://www.linkedin.com/feed/update/urn:li:activity:7287521672314703873,01/21/2025,660,,2.6%,3.5%,1
"??Current foreman and shot firer certifications expire in August??Virginia Energy's Coal Mine Safety Group will be offering virtual continuing education training on July 22, 2025 for anyone who may need to renew their certification. To register for a training session, visit https://lnkd.in/eqQghrhb",https://www.linkedin.com/feed/update/urn:li:activity:7316528855056351232,04/11/2025,201,,2.5%,3.5%,1
"Curious minds and the spark of discovery — minerals mined in Virginia help power the next generation of creativity and leadership. The next time you see a child dreaming big, remember the resources that make it possible. 

#criticalminerals #mineralmining #STEM

Learn more about Virginia's rich geology at
https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7320809114018738176,04/23/2025,201,,1.5%,3.5%,1
"While the U.S. accelerates nuclear deployment to meet soaring electricity demand, Virginia is already leading the way. With world-class infrastructure, cutting-edge research, and a skilled energy workforce, we’re continuing to build the nuclear solutions that will power the future of energy security, reliability, and innovation. 

#NuclearEnergy #EnergySecurity #Innovation",https://www.linkedin.com/feed/update/urn:li:activity:7331801867028475904,05/23/2025,754,,1.3%,3.4%,1
"Contrary to popular belief, nuclear power plants emit less radiation than coal plants and are subject to strict safety regulations. In Virginia, we prioritize safety and environmental stewardship as we expand our energy portfolio. Understanding the facts helps us build a cleaner, safer energy future for all! Learn more about nuclear energy in Virginia at https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7279919655442345984,12/31/2024,263,,1.1%,3.4%,1
"We’re hiring a strategic Human Resource Business Partner to support managers and staff on key HR functions—recruitment, benefits, employee relations, performance management, compliance, and more!

Learn more at https://lnkd.in/eiS7Cf_R
",https://www.linkedin.com/feed/update/urn:li:activity:7353122101324574720,07/21/2025,266,,2.3%,3.4%,1
"Henrico school buses are about to be a little cleaner and healthier! Virginia Energy has facilitated an award of $100,000 to the county for the purchase of 10 new propane-powered school buses through the Federal Highway Administration Congestion Mitigation and Air Quality (CMAQ) program.

With lower greenhouse gas emissions and cleaner-burning fuel, propane buses are a smart choice for local fleets. Localities in eligible air quality zones can receive up to $10,000 per vehicle for electric or alternative fuel fleet upgrades!

Learn more at:
https://lnkd.in/ezM9FsgH",https://www.linkedin.com/feed/update/urn:li:activity:7329868630223974400,05/18/2025,444,,2.3%,3.4%,1
"The next generation of nuclear power needs a domestic fuel supply. The U.S. Department of Energy (DOE)  pilot program is a key step toward building that supply chain here at home. Virginia's unmatched legacy of nuclear innovation and leadership positions us to help lead the nation in this growing initiative.

https://lnkd.in/eyuVgFcs
",https://www.linkedin.com/feed/update/urn:li:activity:7354133476297560064,07/24/2025,622,,2.3%,3.4%,1
"Nuclear and natural gas provide the highest energy capacity, making them the most reliable sources for meeting Virginia’s growing demand. That’s why they form the backbone of our all-of-the-above strategy, ensuring affordable, around-the-clock power. Meanwhile, renewables like solar and geothermal add diversity and resilience, working together for a cleaner, stronger energy future.",https://www.linkedin.com/feed/update/urn:li:activity:7291874478173618177,02/02/2025,89,,2.2%,3.4%,1
"Virginia's investment in geological mapping delivers exceptional financial returns—7 to 10 times the investment cost—according the first-ever cost-benefit analysis of geological mapping! At Virginia Energy, our expert geologists create detailed maps that businesses and communities rely on for smart development, hazard prevention, and industry planning across the Commonwealth. 
U.S. Geological Survey (USGS) American Geosciences Institute 

Read the full report at: https://lnkd.in/e_xs68CC
",https://www.linkedin.com/feed/update/urn:li:activity:7343261883551940610,06/24/2025,327,,0.9%,3.4%,1
"?? SUMMER ALERT: Abandoned quarries are not swimming holes. They're serious hazards.

As schools let loose and temperatures rise, remember that quarry waters often hide invisible dangers: sudden drop-offs, freezing underwater currents, toxic chemicals, submerged machinery, and sidewalls that are impossible to climb out of.

Every year, lives are lost chasing the perfect cool-down spot. So this year, stay safe and find a pool, not a pit.  ",https://www.linkedin.com/feed/update/urn:li:activity:7327332407139852289,05/11/2025,1106,,2.5%,3.3%,1
"In just one month, Amazon Web Services (AWS), Dominion Energy the Navy, and Appalachian Power have all announced plans to explore SMRs in the Commonwealth. As it has for over 60 years, nuclear will continue to provide Virginians with the reliable power as we move forward into a reliable, affordable, and increasingly clean energy future. 

https://lnkd.in/eZdJ4nHQ",https://www.linkedin.com/feed/update/urn:li:activity:7263614587818708992,11/16/2024,958,,0.9%,3.3%,1
"In light of a serious personal injury earlier this year at one of Virginia's coal surface mines, we are once again urging all mining professionals to prioritize safety near highwalls through regular inspections, proper lighting, and effective hazard management. These critical practices help protect the lives of the dedicated miners who drive our Commonwealth forward!

Learn more about our Coal Mine Safety efforts at https://lnkd.in/eC6d-4Hi

#VirginiaEnergy #SafetyFirst #MineSafety #HALT",https://www.linkedin.com/feed/update/urn:li:activity:7267281389413138433,11/26/2024,213,,1.4%,3.3%,1
"""The energy density of a fission nuclear reaction is almost a million times greater than the chemical energy of propellants we use today for space transportation."" As NASA - National Aeronautics and Space Administration eyes nuclear power for lunar missions, Virginia's own nuclear ""moonshot"" is taking shape. With Governor of Virginia push for SMR deployment and recent announcements from Amazon, Dominion, and the Navy, Virginia is poised to lead in nuclear innovation. 

https://lnkd.in/e2YU7f6q",https://www.linkedin.com/feed/update/urn:li:activity:7262228840549085188,11/12/2024,307,,1.0%,3.3%,1
"Offshore wind energy is a valuable renewable resource, but it only operates when the wind is blowing. To meet Virginia's growing energy needs, combining wind power with dependable sources like natural gas and nuclear, alongside cutting-edge battery storage, can help guarantee a steady, reliable power supply 24/7. #Energy #Sustainability #VirginiaEnergy",https://www.linkedin.com/feed/update/urn:li:activity:7242261576634748931,09/18/2024,215,,1.9%,3.3%,1
"More than ever, the security of America’s AI future depends on who builds it and where. Virginia—with its world-leading data capacity, a reliable energy foundation, and a skilled workforce—is strategically aligned to support the nation’s call for faster buildout of secure data centers, advanced manufacturing, and the infrastructure to power it all.

Learn more about the new AI Action Plan: https://lnkd.in/eG8UTP5r
",https://www.linkedin.com/feed/update/urn:li:activity:7359554215603499010,08/08/2025,278,,2.5%,3.2%,1
"Behind Virginia Energy's public-facing work runs one of the Commonwealth's most successful tech talent pipelines. Now in its 18th year, our IT internship program—a collaboration between Virginia Energy and The University of Virginia's College at Wise—is more than just another line on a resume. Future tech leaders spend 2+ years tackling challenges alongside industry veterans, developing practical skills through real-world application. From internships to funding fusion reactors and everything in between, supporting Virginia's economic future is at the core of everything we do. ",https://www.linkedin.com/feed/update/urn:li:activity:7321534079546318851,04/25/2025,683,,1.9%,3.2%,1
"An all-of-the-above energy strategy is needed to meet the needs of a thriving Virginia economy. Natural gas, nuclear, renewables, and other innovative technologies can work together to ensure Virginian's have cleaner, more reliable, and affordable power 24 hours a day, 365 days year.",https://www.linkedin.com/feed/update/urn:li:activity:7255669745100754944,10/25/2024,404,,1.0%,3.2%,1
"Advanced reactors offer unprecedented versatility and efficiency, with some designs capable of operating almost entirely on recycled spent fuel. This multi-recycling approach significantly reduces waste and maximizes resource utilization. Learn more about nuclear energy in Virginia at https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7277020526550609921,12/23/2024,373,,1.1%,3.2%,1
"It's been a big month at Virginia Energy! Check out our November newsletter for all the latest updates https://ow.ly/3XOW50TYicI and sign up for email alerts to receive exclusive insights on our programs, activities, and successes at https://ow.ly/vEoT50TYicF",https://www.linkedin.com/feed/update/urn:li:activity:7261397240601096192,11/10/2024,284,,1.4%,3.2%,1
"Through careful oversight, permitting, and site inspections, Virginia Energy's Gas & Oil team works to safeguard our natural resources and ensure our economy has the fuel it needs to continue thriving safely and responsibly.

Learn more about our Gas & Oil team at https://lnkd.in/eZvp5j2X ",https://www.linkedin.com/feed/update/urn:li:activity:7334942124972367872,06/01/2025,354,,0.8%,3.1%,1
"Strengthening our energy grid today is critical for meeting the energy demands of tomorrow. PJM’s newly selected transmission projects—developed by Dominion Energy, AEP, and FirstEnergy—will improve reliability, capacity, and resilience across the region. It's smart, proactive investments like these that ensure Virginia stays powered and competitive. 

https://ow.ly/P6Wc50Vb1mF",https://www.linkedin.com/feed/update/urn:li:activity:7303505002403094530,03/06/2025,262,,1.5%,3.1%,1
"By the end of 2023, the pioneering minds at Dominion Energy have upgraded 800 miles of 230 kV power lines with advance conductors, boosting capacity by 50%! At Virginia Energy, we're excited to see this type of innovative grid enhancing technology (GET) pushing Virginia forward. Our Clean Energy Innovation Bank aims to support and encourage such innovative solutions across the Commonwealth, ensuring a more resilient and efficient energy future! 

Learn more at https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7358559375210225665,08/05/2025,299,,0.3%,3.0%,1
"Virginia Energy is hiring a Chief Engineer to lead our Mined Land Repurposing program and ensure technical integrity and regulatory compliance of our Coal Program operations. The ideal candidate will hold a valid Professional Engineer license and have extensive experience in land reclamation, mining operations, hydrology, and regulatory compliance.

Learn more and apply: https://lnkd.in/eWrJN8Fd
",https://www.linkedin.com/feed/update/urn:li:activity:7361453172873199617,08/13/2025,301,,1.7%,3.0%,1
"It's been a big month at Virginia Energy! Check out our November newsletter for all the latest updates https://ow.ly/uiEW50TYicJ and sign up for email alerts to receive exclusive insights on our programs, activities, and successes at https://ow.ly/fvxN50TYicK",https://www.linkedin.com/feed/update/urn:li:activity:7258478327949152256,11/02/2024,175,,1.1%,2.9%,1
"Global EV demand is projected to drive the need for 53 million tons of battery metals by 2040, placing significant strain on critical mineral supply chains and the electric grid.

Virginia continues to expand its investment in mineral exploration, advanced processing, and grid modernization—strengthening energy security and staying ahead of the growing demands from electrification.

https://lnkd.in/engSUi9i
",https://www.linkedin.com/feed/update/urn:li:activity:7352683872276443136,07/20/2025,598,,1.0%,2.8%,1
"Virginia's world-class public universities are home to the future of nuclear innovation. Nuclear science programs at Virginia Tech Mechanical Engineering and Virginia Commonwealth University - College of Engineering are preparing our nation's brilliant young minds to tackle some of the most complex challenges facing our economy and country. 
#nuclearscienceweek #nuclearenergy #innovation",https://www.linkedin.com/feed/update/urn:li:activity:7254575397713944577,10/22/2024,319,,0.9%,2.8%,1
"Coal mining is a critical component of Virginia's thriving economy, providing thousands of jobs and producing metallurgical coal that is used in countless manufacturing processes worldwide. The latest U.S. Energy Information Administration Annual Coal Report, offering comprehensive data on U.S. coal production, mines, reserves, consumption, and prices, is now available at: https://lnkd.in/ewsCe5mW",https://www.linkedin.com/feed/update/urn:li:activity:7260327806482497536,11/07/2024,745,,1.3%,2.8%,1
"Virginia Energy geologists are mapping Virginia's economic future and making our communities safer!
 #energywrapped #wrapped2024
https://lnkd.in/eWv6mpuu",https://www.linkedin.com/feed/update/urn:li:activity:7281329829776429057,01/04/2025,144,,0.7%,2.8%,1
"Virginia educators—energize your classrooms with Navigating Nuclear! This free resource from the American Nuclear Society  offers digital lesson plans, STEM project starters, career profiles, and virtual field trips for grades 3-12. Explore how nuclear science fuels our clean energy future and creates exciting economic opportunities for tomorrow’s innovators. 

Discover all the resources and start inspiring your students today: https://lnkd.in/eknZsx4q

#VirginiaEducators #NuclearEnergy #STEM #ScienceTeachers #ScienceClass #STEMcareers",https://www.linkedin.com/feed/update/urn:li:activity:7298438832578850816,02/20/2025,288,,1.4%,2.8%,1
"Abandoned mine hazards aren’t just history — they’re real risks for today’s communities. From unstable highwalls to sudden slides, these sites can threaten homes, roads, and lives.

That’s why Virginia Energy has invested $2 million so far this year in projects that make former mining areas safe for people and property across the Commonwealth.

Explore more 2025 successes in our midyear impact report: https://lnkd.in/eSjew43k",https://www.linkedin.com/feed/update/urn:li:activity:7365005026852782080,08/23/2025,220,,0.0%,2.7%,1
"Virginia's data centers power more than just AI. With over 70% of the world's internet traffic flowing through our state, they're the backbone of global retail, too. From online purchases to inventory updates and customer interactions, retail—like many industries—depends on Virginia's digital infrastructure. When every business relies on data centers, every business is part of the data center story.",https://www.linkedin.com/feed/update/urn:li:activity:7332405391500189696,05/25/2025,335,,0.9%,2.7%,1
"Virginia Energy plays a critical role in protecting Virginia's environment. Reclamation inspectors ensured over 3,000 acres of land impacted by coal mining were restored in 2024!  #energywrapped #wrapped2024",https://www.linkedin.com/feed/update/urn:li:activity:7281655785443536896,01/05/2025,261,,0.8%,2.7%,1
"AI is revolutionizing the energy sector! From making nuclear power safer & cheaper to improving grid efficiency & discovering critical materials, AI is key to a sustainable energy future. Virginia, with its growing data centers, can lead the charge in clean, efficient energy.

Learn More: https://lnkd.in/eyka5NDs",https://www.linkedin.com/feed/update/urn:li:activity:7267901002467487745,11/28/2024,375,,0.8%,2.7%,1
"Our June newsletter comes out next week, and you won't want to miss it! Sign up for exclusive insights on our programs, activities, and successes at https://ow.ly/SgXF50Upkrz.",https://www.linkedin.com/feed/update/urn:li:activity:7334665019088912384,05/31/2025,228,,0.9%,2.6%,1
"Our May newsletter comes out next week, and you won't want to miss it! Sign up for exclusive insights on our programs, activities, and successes at https://ow.ly/SgXF50Upkrz. ",https://www.linkedin.com/feed/update/urn:li:activity:7321941352018022400,04/26/2025,269,,2.2%,2.6%,1
"From land development to resource identification, Virginia Energy's Geology and Mineral Resources team builds resources that keep Virginia's economy moving forward!  #energywrapped #wrapped2024
https://lnkd.in/e3zwxkeh",https://www.linkedin.com/feed/update/urn:li:activity:7278152735407915009,12/26/2024,231,,0.9%,2.6%,1
"""Where does that leave us? With some more uncomfortable facts. Like if Germany hadn’t closed its nuclear plants, it’s emissions would be 43 percent lower than they are today. And if you care about climate change, that’s something you at least have to wrestle with — especially in light of the facts I’ve presented on the health impacts of different energy sources.""
- Michael Shellenberger

https://lnkd.in/gBnAWdUy",https://www.linkedin.com/feed/update/urn:li:activity:7257066250781052929,10/29/2024,466,,1.1%,2.6%,1
"#VirginiaEnergy Mined Land Repurposing inspectors spoke with 4th graders from Wise and Norton City schools at 4-H’s Agricultural Field Day about how their work protects the people, water, and animals around coal mining sites. You could tell from the students' excitement that we were speaking with some future environmental scientists, ecologists, engineers, and maybe even reclamation inspectors!",https://www.linkedin.com/feed/update/urn:li:activity:7247697136732037120,10/03/2024,275,142,1.8%,2.5%,1
"With steel demand surging, Virginia's #metcoal industry is in high demand! Most of Virginia's $2+ billion coal industry is dedicated to producing metallurgical coal used in manufacturing processes around the world. 

https://lnkd.in/eEBZAg_r",https://www.linkedin.com/feed/update/urn:li:activity:7272233819800309762,12/10/2024,315,,0.6%,2.5%,1
"Flour-dusted counters, secret family recipes, and a quick selfie break - mining makes these moments possible. Minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as cherished traditions at home. Next time you're mixing memories and cookie dough with loved ones, remember the unseen connection between our natural resources and life's sweetest moments.

#ifitsnotgrownitsmined 
#criticalminerals 
#mineralmining

Learn more about Virginia's rich geology at
https://lnkd.in/eZd8mzjg

",https://www.linkedin.com/feed/update/urn:li:activity:7343624263557373952,06/25/2025,158,,0.6%,2.5%,1
